"GENDER 
MALE 
  
FEMALE 
  
TOTAL","","","","",""
"119 
 
3 
 
122","","","","",""
"R","","","","",""
"ACE","MALE","FEMALE","","TOTAL","%"
"White","16","3","","19","15.57"
"Black","101","0","","101","82.79"
"Hispanic","1","0","","1",".82"
"Other","1","0","","1",".82"
"A","","","","",""
"GE","MALE","FEMALE","","TOTAL","%"
"15","12","1","","13","10.66"
"16","22","0","","22","18.03"
"17","83","1","","84","68.85"
"Verification Pending","2","0","","2","1.64"
"","","","","",""
"OFFENSE","MALE","FEMALE","","TOTAL","%"
"Burglary","33","1","","34","27.87"
"Robbery","45","0","","45","36.89"
"Property","9","1","","10","8.20"
"Homicide/Manslaughter","2","0","","2","1.64"
"Violent","20","0","","20","16.39"
"Possession of Drugs","5","1","","6","4.92"
"Sex Offense","3","0","","3","2.46"
"Sale of Drugs","2","0","","2","1.64"
