"GENDER 
MALE 
  
FEMALE 
  
TOTAL","","","","",""
"8,595 
 
1,214 
 
9,809","","","","",""
"","","","","",""
"RACE","MALE","FEMALE","","TOTAL","%"
"White","2,864","682","","3,546","36.15"
"Black","5,589","525","","6,114","62.33"
"Hispanic","96","4","","100","1.02"
"Other","46","3","","49",".50"
"","","","","",""
"A","","","","",""
"GE","MALE","FEMALE","","TOTAL","%"
"15","12","1","","13",".13"
"16","22","0","","22",".22"
"17","83","1","","84",".86"
"18  -  19","539","26","","565","5.76"
"20  -  29","3,720","398","","4,118","41.98"
"30  -  39","2,170","383","","2,553","26.03"
"40  -  49","1,484","329","","1,813","18.48"
"50  -  59","490","66","","556","5.67"
"60  -  69","62","9","","71",".72"
"70  -  79","9","0","","9",".09"
"80+","1","0","","1",".01"
"Verification Pending","3","1","","4",".04"
"","","","","",""
"O","","","","",""
"FFENSE","MALE","FEMALE","","TOTAL","%"
"Burglary","1,418","72","","1,490","15.19"
"Homicide/Manslaughter","223","19","","242","2.47"
"Property","2,121","543","","2,664","27.16"
"Possession of Drugs","2,189","330","","2,519","25.68"
"Robbery","559","29","","588","5.99"
"Sale of Drugs","1,202","164","","1,366","13.93"
"Sex Offense","387","13","","400","4.08"
"Violent","496","44","","540","5.51"
