"Administrative, Support, Field Staff","274","227"
"Alcorn County Community Work Center","15","14"
"Bolivar County Community Work Center","15","12"
"Forrest County Community Work Center","15","11"
"George County Community Work Center","15","11"
"Harrison County Community Work Center","15","7"
"Jackson County Community Work Center","15","10"
"Jefferson County Community Work Center","15","11"
"Leflore County Community Work Center","15","13"
"Madison County Community Work Center","15","14"
"Noxubee County Community Work Center","15","15"
"Pike County Community Work Center","16","13"
"Quitman County Community Work Center","15","14"
"Simpson County Community Work Center","15","14"
"Washington County Community Work Center","15","11"
"Wilkinson County Community Work Center","15","13"
"Yazoo County Community Work Center","15","15"
"Flowood Community Work Center/Restitution","33","29"
"Leflore County Restitution","17","13"
"Hinds County Restitution","18","16"
"Pascagoula Restitution","17","16"
"TOTAL  COMMUNITY CORRECTIONS","600","499"
