"JUN '02","JUN '01","JUN '00","JUN '99","JUN '98","TOTAL"
"19","30","17","23","0","190"
"24","11","0","0","21","218"
"11","11","0","0","0","114"
"9","6","5","7","14","67"
"6","1","2","0","0","21"
"43","32","35","22","38","296"
"20","14","9","11","5","100"
"2","0","1","2","0","49"
"17","20","16","15","7","213"
"5","3","6","6","6","38"
"5","8","4","0","1","41"
"1","5","6","1","0","17"
"10","17","15","19","18","153"
"6","6","7","12","11","132"
"19","26","21","7","16","171"
"3","0","0","0","0","28"
"17","14","31","33","2","235"
"54","44","37","47","43","461"
"5","5","0","0","0","43"
"28","7","1","0","0","169"
"7","4","0","0","0","37"
"5","9","10","18","10","79"
"10","22","3","1","3","136"
"93","85","81","42","36","734"
"53","67","68","53","59","535"
"26","23","7","11","15","188"
"20","14","14","17","9","107"
"0","2","1","0","0","4"
"0","1","2","1","6","33"
"81","22","15","8","4","336"
"1","0","0","0","0","23"
"2","2","2","0","0","19"
"0","0","0","0","0","15"
"63","71","48","92","88","747"
"4","0","0","0","1","10"
"16","26","24","17","0","222"
"11","3","0","0","0","73"
