"WALNUT GROVE YOUTH CORRECTIONAL FACILITY","",""
"Program Area","Enrollment Capacity","Program Length"
"Alcohol & Drug Treatment—Long Term","350","6 Months"
"Alcohol & Drug Treatment—Short Term","350","3 Months"
"Adult Basic Education Program","350","Open Entry/Exit"
"ACT Classes & Training","60","1 to 1-1/2 Years"
"General Educational Development","540","Open Entry/Exit"
"Pre-Release","150","6 Weeks"
"Regimented Inmate Discipline - Short Term","60","90 Days"
"Regimented Inmate Discipline - Long Term","192","20 Weeks"
"Vocational Skills Training","150","1 Year"
