"GENDER 
MALE 
 
FEMALE 
  
TOTAL","","","","",""
"23,226 
 
2,538 
 
25,764","","","","",""
"","","","","",""
"RACE","MALE","FEMALE","","TOTAL","%"
"White","6,889","1,239","","8,128","31.55"
"Black","16,084","1,273","","17,357","67.37"
"Hispanic","180","12","","192",".75"
"Other","73","14","","87",".34"
"","","","","",""
"AGE","MALE","FEMALE","","TOTAL","%"
"11","0","1","","1",".00"
"13","1","0","","1",".00"
"14","0","0","","0",".00"
"15","3","0","","3",".01"
"16","21","0","","21",".08"
"17","54","1","","55",".21"
"18  -  19","499","16","","515","2.00"
"20  -  29","8,430","724","","9,154","35.53"
"30  -  39","6,916","832","","7,748","30.07"
"40  -  49","4,783","726","","5,509","21.38"
"50  -  59","2,031","198","","2,229","8.65"
"60  -  69","388","37","","425","1.65"
"70  -  79","76","3","","79",".31"
"80+","10","0","","10",".04"
"Verification Pending","14","0","","14",".05"
"","","","","",""
"OFFENSE","MALE","FEMALE","","TOTAL","%"
"Possession of Drugs","2,924","163","","3,087","11.98"
"Sale of Drugs","2,385","193","","2,578","10.01"
"Property","3,136","869","","4,005","15.54"
"Burglary","4,148","551","","4,699","18.24"
"Robbery","2,772","118","","2,890","11.22"
"Homicide/Manslaughter","4,146","488","","4,634","17.99"
"Sex Offense","2,176","34","","2,210","8.58"
"Violent","1,539","122","","1,661","6.45"
