"Security Staff by Rank   
Authorized 
  
Filled","","",""
"Correctional Officer Trainee","568","","504"
"Correctional Officer I","391","","338"
"Correctional Officer II","174","","165"
"Correctional Officer III","202","","190"
"Correctional Officer IV","826","","615"
"Correctional Supervisor","168","","135"
"Correctional Commander","54","","52"
"Deputy Warden","10","","10"
"Warden","8","","8"
"Field Worker","26","","24"
"Field Officer I","26","","25"
"Field Officer II","56","","48"
"Field Officer III","176","","155"
"TOTAL","2,685","","2,269"
