"","","By Fund and Category","",""
"","PROGRAM","A1","A2","B"
"FUND","NAME","SALARIES","TRAVEL","CONTRACTUAL"
"2551","Support - General","$ 114,096,553","$ 305,573","$ 22,702,157"
"3551","Support - Special","$ 3,959,716","$ 21,4331","$ 625,457"
"2555","Private Prisons - Operating","$                       -","$                    -","$ 37,058,203"
"2555","Private Prisons - Capital","$                       -","$                    -","$ 13,247,685"
"3564","Private Prisons - (deficits)","$                       -","$                    -","$ 22,021,755"
"2556","Regional Prisons","$                       -","$                    -","$ 24,885,277"
"3562","Regional Prisons (deficit)","$                       -","$                    -","$ 8,193,963"
"3554","Training","$ 250,000","$ 69,892","$ 67,124"
"3556","Community Services","$ 8,688,488","$ 70,213","$                      -"
"3557","Confiscated Funds","$                       -","$                    -","$                      -"
"3561","Vocational Education Equipment","$                       -","$                    -","$                      -"
"3552","Agriculture Enterprises - Special","$ 591,874","$ 2,057","$ 131,798"
"3549","Salvage","$                       -","$ 3,419","$ 7,563"
"2553","Parole Board","$ 555,381","$ 21,224","$ 51,313"
"2554","Medical Services","$ 272,279","$                    -","$ 38,619,015"
"3553","Medical Services (deficit)","$                       -","$                    -","$ 12,004,729"
"2557","Local Confinement","$                       -","$                    -","$ 15,782,536"
"3559","Local Confinement (deficit)","$                       -","$                    -","$ 2,333,549"
"","TOTAL","$ 128,414,291","$ 493,809","$ 197,732,124"
