"COUNTY","JUN '08","JUN '07","JUN '06","JUN '05","JUN '04","JUN '03"
"Adams","9","18","16","33","6","19"
"Alcorn","20","21","25","46","25","25"
"Amite","12","9","9","22","28","12"
"Attala","3","3","2","2","5","11"
"Benton","3","3","1","1","1","3"
"Bolivar","20","18","15","15","27","31"
"Calhoun","5","16","4","5","2","9"
"Carroll","3","5","9","14","10","3"
"Chickasaw","17","22","28","17","36","18"
"Choctaw","2","0","2","2","1","5"
"Claiborne","0","6","11","1","1","4"
"Clarke","0","2","0","1","0","1"
"Clay","10","6","10","26","10","12"
"Coahoma","16","12","21","12","17","12"
"Copiah","11","16","18","8","17","12"
"Covington","7","6","0","1","7","4"
"DeSoto","33","21","26","27","16","15"
"Forrest","41","31","48","56","24","36"
"Franklin","6","6","0","7","0","14"
"George","13","14","28","19","30","29"
"Greene","7","6","0","6","0","7"
"Grenada","5","6","1","0","7","8"
"Hancock","19","22","26","14","5","11"
"Harrison","89","52","27","68","87","74"
"Hinds","41","16","24","50","56","48"
"Holmes","20","8","25","16","13","24"
"Humphreys","0","5","5","3","2","18"
"Issaquena","0","0","1","0","0","0"
"Itawamba","12","6","1","1","1","2"
"Jackson","31","23","14","38","39","61"
"Jasper","2","6","5","5","4","0"
"Jefferson","1","9","0","1","2","0"
"Jeff Davis","9","6","0","0","0","0"
"Jones","73","57","66","86","55","48"
"Kemper","0","2","0","1","2","0"
"Lafayette","24","28","40","13","18","16"
"Lamar","18","12","5","5","5","14"
