"","JAN","FEB","MAR","APR","MAY","JUN"
"Travel Permit","39","63","36","13","65","73"
"Reporting Instruction","35","136","209","176","174","107"
"Investigation","79","86","71","100","77","74"
"Acceptance","46","53","56","63","51","61"
"Rejection","10","7","7","15","20","6"
"Cancellation","0","0","0","5","0","1"
"Pending","79","86","71","98","77","74"
"Progress Report","37","22","86","66","30","49"
"Violation","41","19","27","32","17","25"
"Probation Warrant","11","3","4","8","4","4"
"Parole Warrant","2","3","2","2","0","2"
"Closure","27","35","26","46","66","42"
"Discharge","11","12","10","29","18","9"
"New File","0","0","0","0","0","0"
"Updates","317","341","19","357","268","298"
"File Deletion","0","1","0","7","6","0"
"Revocation","0","0","236","0","0","0"
"Inquiries","1092","588","580","581","299","764"
"TOTAL","1,826","1,455","1,440","1,598","1,172","1,589"
