"GENDER 
MALE 
 
FEMALE 
  
TOTAL","","","","",""
"387 
 
13 
 
400","","","","",""
"","","","","",""
"RACE","MALE","FEMALE","","TOTAL","%"
"White","207","9","","216","54.00"
"Black","175","4","","179","44.75"
"Hispanic","2","0","","2",".50"
"Other","3","0","","3",".75"
"A","","","","",""
"GE","MALE","FEMALE","","TOTAL","%"
"17","2","0","","2",".50"
"18  -  19","16","0","","16","4.00"
"20  -  29","125","4","","129","32.25"
"30  -  39","100","5","","105","26.25"
"40  -  49","95","4","","99","24.75"
"50  -  59","38","0","","38","9.50"
"60  -  69","7","0","","7","1.75"
"70  -  79","3","0","","3",".75"
"Verification Pending","1","0","","1",".25"
"","","","","",""
"OFFENSE","MALE","FEMALE","","TOTAL","%"
"Sexual Battery","116","2","","118","29.50"
"Statutory Rape","83","4","","87","21.75"
"Failure to Register as Sex Offender","54","0","","54","13.50"
"Unlawful Touching of Child","37","0","","37","9.25"
"Fondling","24","3","","27","6.75"
"Rape","13","0","","13","3.25"
"Gratification of Lust","19","2","","21","5.25"
"Exploitation of Child","14","1","","15","3.75"
