"VIOLATION","JUL","AUG","SEP","OCT","NOV","DEC","JAN"
"Escape - Return","0","1","2","4","0","1","0"
"ISP-Prison","0","0","1","0","0","0","1"
"New Prisoner","379","478","565","545","404","420","344"
"Non-Adjudicated RID","3","1","1","5","2","3","6"
"Parole Revoke - New","0","0","0","0","0","0","1"
"Parole Violation","0","0","1","0","0","0","0"
"Post Release Probation","1","1","2","1","0","0","0"
"Probation Revoked","245","249","244","277","210","203","243"
"Return-Abscond","13","3","7","7","9","9","9"
"Return - ERS","29","51","39","42","43","39","54"
"Return - House Arrest","36","19","30","35","32","35","27"
"Returned Parole","28","13","28","21","19","16","30"
"Sentenced to Probation","1","1","0","0","0","0","0"
"TOTAL","735","817","920","937","719","726","715"
