"","JUL","AUG","SEP","OCT","NOV","DEC"
"Travel Permit","39","34","28","31","38","46"
"Reporting Instruction","79","85","80","89","33","29"
"Investigation","67","74","67","58","35","62"
"Acceptance","62","67","63","49","38","47"
"Rejection","24","30","25","14","7","7"
"Cancellation","5","3","2","3","1","0"
"Pending","67","74","67","58","35","62"
"Progress Report","47","42","39","45","37","31"
"Violation","42","44","37","39","43","37"
"Probation Warrant","4","3","2","4","3","4"
"Parole Warrant","0","0","0","2","1","0"
"Closure","32","29","32","29","33","24"
"Discharge","18","12","18","15","12","9"
"New File","0","0","0","0","0","0"
"Updates","282","297","313","251","267","283"
"File Deletion","0","0","0","0","0","0"
"Revocation","0","0","0","0","0","0"
"Inquiries","1,067","1,087","1,077","1,092","1,082","1,077"
"TOTAL","1,835","1,881","1,850","1,779","1,665","1,718"
