"GENDER 
MALE 
  
FEMALE 
  
TOTAL","","","","",""
"7,653 
  
1,144 
  
8,797","","","","",""
"R","","","","",""
"ACE","MALE","FEMALE","","TOTAL","%"
"White","2,607","641","","3,248","36.92"
"Black","4,941","496","","5,437","61.81"
"Hispanic","62","2","","64",".73"
"Other","35","4","","39",".44"
"Unknown","8","1","","9",".10"
"A","","","","",""
"GE","MALE","FEMALE","","TOTAL","%"
"15","3","0","","3",".03"
"16","3","1","","4",".05"
"17","16","0","","16",".18"
"18 - 19","255","16","","271","3.08"
"20 - 29","3,137","348","","3,485","39.62"
"30 - 39","2,128","372","","2,500","28.42"
"40 - 49","1,467","316","","1,783","20.27"
"50 - 59","552","75","","627","7.13"
"60 - 69","75","16","","91","1.03"
"70 - 79","16","0","","16",".18"
"80+","1","0","","1",".01"
"O","","","","",""
"FFENSE","MALE","FEMALE","","TOTAL","%"
"Burglary","1,396","95","","1,491","16.95"
"Homicide/Manslaughter","174","26","","200","2.27"
"Property","2,036","512","","2,548","28.96"
"Possession of Drugs","1,941","306","","2,247","25.54"
"Robbery","485","25","","510","5.80"
"Sale of Drugs","909","124","","1,033","11.74"
"Sex Offense","239","3","","242","2.75"
"Violent","473","53","","526","5.98"
