"Admin(Other)","$ 27,518,008   $ 865,475  $                       -   $ 169,919   $ 28,553,402","",""
"Utilities","$ 7,222,193   $","$","$                      -   $ 7,222,193"
"SUB-TOTAL","$ 154,746,065  $ 5,266,882   $ 9,650,156  $ 419,919   $ 170,083,022","",""
"Medical","2554","","$ 50,950,497"
"Local Confinement","2557","","$ 18,116,085"
"Parole Board","2553","","$ 649,297"
"Ag Enterprises","3552","","$ 2,883,626"
"Private Prisons","2555","","$ 72,327,643"
"Regional Facilities","2556","","$ 33,079,240"
"GRAND TOTAL","","","$ 348,089,410"
