"","","","INMATE ADMISSIONS","","",""
"","","","Drug Offenders","","",""
"","","","County of Conviction","","",""
"","COUNTY","OFFENDERS","%","COUNTY","OFFENDERS","%"
"","Alcorn","28","2.24","Montgomery","14","1.12"
"","Attala","37","2.96","Panola","47","3.76"
"","Benton","16","1.28","Pontotoc","67","5.36"
"","Bolivar","18","1.44","Prentiss","50","4.00"
"","Calhoun","33","2.64","Quitman","10",".80"
"","Carroll","9",".72","Sunflower","18","1.44"
"","Chickasaw","62","4.96","Tallahatchie","16","1.28"
"Northern","Choctaw","6",".48","Tate","11",".88"
"Counties","","","","","",""
"","Coahoma","52","4.16","Tippah","29","2.32"
"","Desoto","138","11.04","Tishomingo","8",".64"
"","Grenada","53","4.24","Tunica","31","2.48"
"","Itawamba","20","1.60","Union","36","2.88"
"","Lafayette","30","2.40","Washington","33","2.64"
"","Lee","196","15.68","Webster","10",".80"
"","Leflore","33","2.64","Winston","16","1.28"
"","Marshall","72","5.76","Yalobusha","11",".88"
"","Monroe","40","3.20","TOTAL","1,250","32.18"
