"FEMALE","BLACK","WHITE","HISPANIC","OTHER","TOTAL","%"
"Less than 1 year","12","24","0","1","37","1.46"
"1 - 2 Years","182","221","1","6","410","16.15"
"3 - 5 Years","386","469","2","4","861","33.92"
"6 - 10 Years","351","306","5","0","662","26.08"
"11 - 20 Years","222","113","2","0","337","13.28"
"21 -30 Years","26","18","1","1","46","1.81"
"Greater Than 30 Years","11","7","0","0","18",".71"
"Life","52","35","0","0","87","3.43"
"Death","0","3","0","0","3",".12"
"Verification Pending","31","43","1","2","77","3.03"
"TOTAL","1,273","1,239","12","14","2,538","100.00"
