"","JAN","FEB","MAR","APR","MAY","JUN"
"Travel Permit","42","49","0","54","0","0"
"Reporting Instruction","93","54","57","133","17","94"
"Investigation","159","130","146","113","139","107"
"Acceptance","133","100","144","54","83","105"
"Rejection","60","33","16","0","79","33"
"Cancellation","2","0","0","133","0","0"
"Pending","159","130","146","126","139","107"
"Progress Report","38","106","71","30","79","65"
"Violation","51","45","37","30","33","43"
"Probation Warrant","8","1","3","0","11","1"
"Parole Warrant","4","2","2","1","0","5"
"Closure","41","74","75","80","70","61"
"Discharge","15","14","12","16","5","6"
"New File","86","40","52","0","0","33"
"Updates","609","394","381","281","329","330"
"File Deletion","0","4","0","8","3","970"
"Inquiries","1,541","1,127","1,256","1,017","775","0"
"TOTAL","3,041","2,303","2,398","2,076","1,762","1,960"
