"FACILITY","JUL","AUG","SEP","OCT"
"Mississippi State Penitentiary","4,481","4,473","4,434","4,371"
"Central Mississippi Correctional Facility","3,419","3,436","3,437","3,472"
"South Mississippi Correctional Institution","2,625","2,685","2,782","2,904"
"County Jails","1,823","1,776","1,858","1,903"
"Community Work Centers","1,755","1,765","1,748","1,751"
"County/Regional Facilities","3,064","3,073","3,077","3,080"
"Private Prisons","4,863","4,777","4,770","4,779"
"Restitution Centers","12","13","13","12"
"Governor's Mansion","5","5","5","5"
"*E-CODE","28","22","26","29"
"TOTAL","22,075","22,025","22,150","22,306"
"ACTUAL CAPACITY","22,550","22,515","22,340","22,531"
