"JUN '02","JUN '01","JUN '00","JUN '99","JUN '98","TOTAL"
"20","33","54","41","16","224"
"0","0","0","0","0","2"
"10","0","0","0","0","41"
"10","23","10","6","4","114"
"5","6","4","2","1","34"
"4","12","10","8","2","50"
"14","20","21","19","8","165"
"2","2","2","5","2","45"
"6","1","1","0","0","38"
"6","12","17","6","0","52"
"4","10","11","11","6","98"
"3","5","3","4","4","27"
"9","0","0","0","0","63"
"5","5","0","0","0","38"
"3","1","0","1","2","17"
"5","6","9","6","3","72"
"7","17","7","6","0","75"
"9","7","0","0","0","37"
"0","0","0","0","1","1"
"1","10","17","8","4","63"
"9","9","7","2","1","71"
"7","7","2","3","5","43"
"1","5","4","6","1","19"
"19","24","23","4","7","168"
"4","4","0","0","0","44"
"1","1","1","0","0","6"
"5","3","0","0","0","20"
"1","2","1","0","0","14"
"3","2","0","2","0","12"
"3","8","11","9","3","53"
"3","6","0","0","2","28"
"2","4","2","3","0","23"
"2","4","8","9","0","34"
"1","0","1","0","1","9"
"0","4","3","6","0","14"
"6","8","8","4","3","56"
"0","4","3","3","4","18"
