"","JUL","AUG","SEP","OCT","NOV","DEC"
"Travel Permit","47","43","39","35","39","50"
"Reporting Instruction","103","98","92","86","97","89"
"Investigation","143","157","151","141","113","150"
"Acceptance","138","148","139","119","58","89"
"Rejection","62","68","62","57","11","40"
"Cancellation","5","8","5","8","2","2"
"Pending","143","157","151","141","113","150"
"Progress Report","58","54","50","42","49","42"
"Violation","47","53","58","67","73","59"
"Probation Warrant","6","4","6","4","6","1"
"Parole Warrant","2","1","2","1","2","2"
"Closure","62","57","63","51","48","39"
"Discharge","21","15","12","16","19","12"
"New File","127","95","89","79","89","71"
"Updates","582","594","609","586","579","591"
"File Deletion","3","5","3","6","4","0"
"Inquiries","1,489","1,505","1,527","1,509","1,518","1,531"
"TOTAL","3,038","3,062","3,058","2,948","2,820","2,918"
