"MALE","","","","",""
"SEX OFFENSES","BLACK","","WHITE   HISPANIC","OTHER","TOTAL"
"Child Molestation","5","3","0","0","8"
"Child Pornography","0","3","0","0","3"
"Entice Child for Indecent Purposes","0","6","0","0","6"
"Exploitation of Child","1","13","0","0","14"
"Failure to Register as Sex Offender","23","31","0","0","54"
"Fondling","7","16","0","1","24"
"Fondling a Child","1","2","0","0","3"
"Gratification  of Lust","10","9","0","0","19"
"Incest","0","1","0","0","1"
"Peeping Tom","4","1","0","0","5"
"Rape","10","2","0","1","13"
"Sex Offense","0","1","0","0","1"
"Sexual Battery","55","60","1","0","116"
"Statutory Rape","45","36","1","1","83"
"Unlawful Touching a Child","14","23","0","0","37"
"TOTAL","175","207","2","3","387"
