"MDOC INMATES SERVED BY ALCOHOL AND DRUG PROGRAMS","","","",""
"LOCATION","","SERVED","COMPLETED","CAPACITY"
"MSP","Therapeutic Community (Unit 30)","2,047","489","432"
"","Therapeutic Community After Care (Unit 25)","122","58","60"
"","Special Needs (Disability Unit 31)","14","5","20"
"","Special Needs (Unit 28)","76","26","48"
"CMCF","A & D Program for Females","393","243","232"
"","A & D Program for Males (Disability Unit)","52","32","16"
"SMCI","Regimented Inmate Discipline Area","357","315","OPEN"
"","General Population Program Area","1,262","730","200"
"3 Community Pre-Release Centers","","506","294","132"
"Flowood CWC (General Population)","","59","32","N/A"
"14 Community Work Centers (Alcoholics Anonymous)","","124","13","N/A"
