"OFFENSE 
AVERAGE AGE AT TIME OF OFFENSE","",""
"Child Molestation","41.07",""
"Unlawful Touching of Child","40.21",""
"Child Pornography","45.68",""
"Fondling","39.39",""
"Fondling a Child","31.94",""
"Incest","22.48",""
"Gratification of Lust","36.74",""
"Exploitation of Child","35.72",""
"Failure to Register as Sex Offender","40.62",""
"Peeping Tom","29.09",""
"Sexual Battery","33.97",""
"Statutory Rape","30.45",""
"Rape","37.18",""
"Entice Child for Indecent Purposes","44.86",""
"Sex Offense","52.00",""
