"$18,116,085  $ 13,299,400  $ 4,536,121  $ 76,685,843  $ 44,353,566  $ 2,315,350  $ 348,089,410",""
"","FUND
FUND
FUND
FUND"
"","2551
3551
3556
3554/3557
TOTALS"
"MSP","$ 49,855,039   $ 1,685,296   $                       -   $                      -   $ 51,540,335"
"CMCF","$ 22,773,114   $ 581,966   $                       -   $                      -   $ 23,355,080"
"SMCI","$ 18,208,055   $ 487,182   $                       -   $                      -   $ 18,695,237"
"CWC","$ 10,671,085  $                     -   $                       -   $                      -   $ 10,671,085"
"PAR/PROB","$ 5,344,301   $ 1,062,778   $ 6,232,321   $                      -   $ 12,639,400"
"House Arrest","$ 968,286   $                     -   $ 3,417,835   $                     -   $ 4,386,121"
"","Restitution Center   $ 1,997,126   $                     -   $                       -   $                      -   $ 1,997,126"
"Admin(Sal)","$ 10,188,858   $ 584,185   $                       -   $ 250,000   $ 11,023,043"
"Admin(Other)","$ 27,518,008   $ 865,475  $                       -   $ 169,919   $ 28,553,402"
"Utilities","$ 7,222,193   $
 $
 $                      -   $ 7,222,193"
"SUB-TOTAL","$ 154,746,065  $ 5,266,882   $ 9,650,156  $ 419,919   $ 170,083,022"
"Medical","2554



 $ 50,950,497"
"Local Confinement","2557

 $ 18,116,085"
"Parole Board","$ 649,297
2553"
"Ag Enterprises","$ 2,883,626
3552"
"Private Prisons","$ 72,327,643
2555"
"Regional Facilities","$ 33,079,240
2556"
"GRAND TOTAL","$ 348,089,410"
