"VIOLATION","JUL","AUG","SEP","OCT","NOV","DEC","JAN"
"Abscond","0","4","1","1","0","0","0"
"Appeal","1","0","0","3","0","0","0"
"Closed","2","2","0","0","1","0","0"
"Death","4","0","1","0","1","1","2"
"Death by Inmate","1","1","0","0","0","0","0"
"Death/Execution","0","0","0","0","0","0","0"
"Death/Natural Causes","6","4","10","5","7","5","5"
"Death/Suicide","0","0","0","0","0","0","0"
"Deported","0","0","0","0","0","0","0"
"Discharge to Probation","16","21","8","13","7","7","6"
"Discharged","5","4","2","5","4","6","0"
"Discharged-Held In","0","0","0","0","0","0","0"
"ERS","154","136","144","146","155","174","150"
"Escape","0","0","0","0","0","0","0"
"Expiration","187","171","175","166","157","159","158"
"House Arrest/ISP","5","15","2","29","25","5","38"
"Inmate","13","8","14","17","14","6","8"
"Medical Release","0","0","5","1","0","0","0"
"Non-Report","1","1","0","0","1","1","2"
"Out of State","17","12","9","11","13","9","9"
"Pardon","0","0","0","0","0","0","0"
"Parole","49","47","40","42","52","57","49"
"Pending","0","0","0","0","0","0","0"
"Pending Arrival","0","0","1","0","0","0","2"
"Probation","164","202","186","178","143","149","149"
"Rejected Compact","1","1","1","0","0","1","1"
"RID","4","4","2","3","4","1","2"
"RID on Street","1","0","0","0","0","0","2"
"Shock Probation","2","1","1","4","1","1","0"
"Unsupervised Probation","9","5","7","4","2","3","0"
"Release Type Unknown","140","144","133","147","111","104","115"
"TOTAL","782","783","742","775","698","689","698"
