"JUN '02","JUN '01","JUN '00","JUN '99","JUN '98","TOTAL"
"0","5","0","7","0","35"
"11","12","9","0","1","61"
"0","7","0","0","0","11"
"4","3","8","8","1","40"
"0","1","3","1","0","7"
"8","10","10","10","3","67"
"13","6","10","7","2","49"
"4","5","0","0","0","23"
"5","5","9","4","2","50"
"0","2","2","5","0","16"
"6","2","1","0","0","12"
"1","2","2","0","1","7"
"1","4","14","5","2","73"
"14","5","15","8","5","58"
"5","11","9","8","2","68"
"2","2","0","0","0","10"
"14","13","15","15","4","110"
"9","22","18","12","5","109"
"0","0","0","0","0","4"
"2","2","0","0","0","29"
"0","2","1","0","0","6"
"2","8","2","5","5","37"
"7","8","5","0","3","42"
"27","56","26","22","7","241"
"16","30","28","35","9","197"
"3","5","9","10","1","39"
"4","4","2","2","2","17"
"1","0","0","0","0","3"
"0","3","1","1","0","11"
"7","14","6","5","5","78"
"0","0","2","0","0","5"
"3","4","0","0","0","10"
"0","0","0","0","0","2"
"8","10","23","9","0","93"
"2","3","0","0","0","6"
"10","8","5","5","2","52"
"2","2","0","0","0","20"
