COUNTY,Offenders,Percent
ADAMS,62,0.72%
ALCORN,92,1.06%
AMITE,38,0.44%
ATTALA,71,0.82%
AVAILABLE,25,0.29%
BENTON,15,0.17%
BOLIVAR,49,0.57%
CALHOUN,52,0.60%
CARROLL,12,0.14%
CHICKASAW,72,0.83%
CHOCTAW,15,0.17%
CLAIBORN,20,0.23%
CLARKE,41,0.47%
CLAY,77,0.89%
COAHOMA,40,0.46%
COPIAH,68,0.79%
COVINGTON,43,0.50%
DESOTO,392,4.53%
FORREST,334,3.86%
FRANKLIN,19,0.22%
GEORGE,78,0.90%
GREENE,42,0.49%
GRENADA,54,0.62%
HANCOCK,149,1.72%
HARRISON,864,9.99%
HINDS,281,3.25%
HOLMES,27,0.31%
HUMPHREYS,9,0.10%
ISSAQUENA,2,0.02%
ITAWAMBA,80,0.92%
JACKSON,480,5.55%
JASPER,36,0.42%
JEFF,17,0.20%
JEFFERSON,5,0.06%
JONES,228,2.64%
KEMPER,23,0.27%
LAFAYETTE,111,1.28%
LAMAR,110,1.27%
LAUDERDALE,263,3.04%
LAWRENCE,27,0.31%
LEAKE,69,0.80%
LEE,354,4.09%
LEFLORE,76,0.88%
LINCOLN,124,1.43%
LOWNDES,288,3.33%
MADISON,316,3.65%
MARION,164,1.90%
MARSHALL,101,1.17%
MONROE,130,1.50%
MONTGOMERY,19,0.22%
NESHOBA,99,1.14%
NEWTON,42,0.49%
NOXUBEE,17,0.20%
OKTIBBEHA,111,1.28%
PANOLA,102,1.18%
PEARL,247,2.86%
PERRY,40,0.46%
PIKE,150,1.73%
PONTOTOC,120,1.39%
PRENTISS,88,1.02%
QUITMAN,6,0.07%
RANKIN,531,6.14%
SCOTT,88,1.02%
SHARKEY,9,0.10%
SIMPSON,35,0.40%
SMITH,18,0.21%
STONE,47,0.54%
SUNFLOWER,25,0.29%
TALLAHATCHIE,29,0.34%
TATE,65,0.75%
TIPPAH,47,0.54%
TISHOMINGO,47,0.54%
TUNICA,25,0.29%
UNION,110,1.27%
WALTHALL,42,0.49%
WARREN,144,1.66%
WASHINGTON,120,1.39%
WAYNE,38,0.44%
WEBSTER,23,0.27%
WILKINSON,14,0.16%
WINSTON,28,0.32%
YALOBUSHA,27,0.31%
YAZOO,52,0.60%
TOTAL,8650,100.00%
