"County","Offenders","Percent"
"ADAMS","16","0.51%"
"ALCORN","41","1.30%"
"AMITE","14","0.44%"
"ATTALA","21","0.67%"
"BENTON","2","0.06%"
"BOLIVAR","12","0.38%"
"CALHOUN","25","0.79%"
"CARROLL","5","0.16%"
"CHICKASAW","34","1.08%"
"CHOCTAW","3","0.10%"
"CLARKE","13","0.41%"
"CLAY","29","0.92%"
"COAHOMA","4","0.13%"
"COPIAH","14","0.44%"
"COVINGTON","15","0.48%"
"+ DESOTO","123","3.90%"
"+ FORREST","107","3.39%"
"FRANKLIN","6","0.19%"
"GEORGE","51","1.62%"
"GREENE","17","0.54%"
"GRENADA","13","0.41%"
"HANCOCK","78","2.47%"
"+ HARRISON","358","11.36%"
"HINDS","50","1.59%"
"HOLMES","1","0.03%"
"ITAWAMBA","32","1.02%"
"+ JACKSON","170","5.39%"
"JASPER","16","0.51%"
"JEFF","8","0.25%"
"JEFFERSON","2","0.06%"
"JONES","75","2.38%"
"KEMPER","7","0.22%"
"LAFAYETTE","38","1.21%"
"LAMAR","37","1.17%"
"+ LAUDERDALE","98","3.11%"
"LAWRENCE","13","0.41%"
"LEAKE","29","0.92%"
"+ LEE","147","4.66%"
"LEFLORE","18","0.57%"
"LINCOLN","73","2.32%"
"+ LOWNDES","119","3.78%"
"+ MADISON","107","3.39%"
"MARION","72","2.28%"
"MARSHALL","40","1.27%"
"MONROE","49","1.55%"
"MONTGOMERY","5","0.16%"
"NESHOBA","39","1.24%"
"NEWTON","12","0.38%"
"NOXUBEE","4","0.13%"
"OKTIBBEHA","36","1.14%"
"PANOLA","41","1.30%"
"+ PEARL","96","3.05%"
"PERRY","18","0.57%"
"PIKE","57","1.81%"
"PONTOTOC","52","1.65%"
"PRENTISS","51","1.62%"
"+ RANKIN","205","6.50%"
"SCOTT","42","1.33%"
"SHARKEY","2","0.06%"
"SIMPSON","12","0.38%"
"SMITH","11","0.35%"
"STONE","18","0.57%"
"SUNFLOWER","1","0.03%"
"TALLAHATCHIE","4","0.13%"
"TATE","17","0.54%"
"TIPPAH","12","0.38%"
"TISHOMINGO","22","0.70%"
"TUNICA","3","0.10%"
"UNION","54","1.71%"
"UNAVAILABLE","9","0.29%"
"WALTHALL","13","0.41%"
"WARREN","53","1.68%"
"WASHINGTON","20","0.63%"
"WAYNE","11","0.35%"
"WEBSTER","9","0.29%"
"WILKINSON","1","0.03%"
"WINSTON","10","0.32%"
"YALOBUSHA","8","0.25%"
"YAZOO","2","0.06%"
"TOTAL","3,152","100.00%"
