Entry Type,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,April,May,June,Total,Percent
FEDERAL INMATE,0,0,0,0,0,0,0,0,3,0,0,0,3,0.03%
NEW PRISONER,283,422,464,426,352,271,296,396,423,376,397,351,"4,457",51.53%
RETURN HOUSE ARREST,15,10,15,18,9,6,17,11,15,9,16,7,148,1.71%
NON-ADJUDICATED PROBATION,0,1,0,0,0,0,0,0,0,1,0,0,2,0.02%
POST RELEASE PROBATION,0,0,0,0,0,0,0,0,0,0,1,0,1,0.01%
PROBATION REVOKED,138,201,197,146,127,163,124,143,122,176,182,164,1883,21.77%
NON-ADJUDICATED RID,1,0,0,0,0,0,0,0,0,0,0,0,1,0.01%
PAROLE VIOLATORS,147,194,197,158,135,99,143,145,183,155,223,197,1976,22.84%
RETURN ERS,11,17,10,15,15,10,9,10,7,11,12,6,133,1.54%
RETURN MEDICAL,0,0,0,0,1,0,0,0,0,0,0,0,1,0.01%
RECIDIVISM REDUCTION PROGRAM,5,4,3,3,1,6,1,3,5,1,4,1,37,0.43%
OTHER,1,0,2,1,0,0,0,1,0,0,0,3,8,0.09%
Total,601,849,888,767,640,555,590,709,758,729,835,729,"8,650",100.00%
