"OFFENSE","Black","White","Hispanic","Other","Total"
"CHILD ENDANGERMENT","8","7","0","0","15"
"CHILD MOLESTATION","4","4","0","0","8"
"CHILD PORNOGRAPHY","1","3","0","0","4"
"ENTICE CHILD FOR INDECENT PURPOSES","0","2","0","0","2"
"EXPLOITATION/CHILD","7","19","4","0","30"
"FONDLING","7","12","2","0","21"
"FONDLING A CHILD","3","1","0","0","4"
"FORCIBLE SEXUAL INTERCOURSE","2","2","0","0","4"
"GRATIFICATION/LUST","3","10","0","0","13"
"HUMAN TRAFFICKING","2","0","0","0","2"
"KIDNAP MINOR","2","2","0","0","4"
"RAPE","3","0","0","0","3"
"SEXUAL BATTERY","49","47","5","2","103"
"SEXUAL PENETRATION OF INCARCERATED OFFENDER BY 
LAW ENFORCEMENT","1","1","0","0","2"
"STATUTORY RAPE","25","19","0","1","45"
"UNLAWFUL TOUCHING/CHILD                                      10","","28","3","1","42"
"VIDEO VOYEURISM-PHOTOGRAPHING OR FILMING                     1","","2","0","1","4"
"COMPUTER LURING OF CHILD FOR SEXUAL CONDUCT                  0","","1","0","0","1"
"SEX OFFENSE","1","0","0","0","1"
"INCEST","0","0","1","0","1"
"SEX ASSAULT","0","1","0","0","1"
"SEXUAL ABUSE - VULNERABLE ADULT","1","0","0","0","1"
"Total","129","161","15","5","311"
