"County","Offenders","Percent"
"ADAMS","5","0.63%"
"ALCORN","8","1.01%"
"AMITE","2","0.25%"
"ATTALA","8","1.01%"
"BENTON","1","0.13%"
"BOLIVAR","5","0.63%"
"CALHOUN","4","0.51%"
"CARROLL","3","0.38%"
"CHICKASAW","10","1.27%"
"CHOCTAW","1","0.13%"
"CLAIBORN","4","0.51%"
"CLARKE","4","0.51%"
"CLAY","12","1.52%"
"COAHOMA","5","0.63%"
"COPIAH","4","0.51%"
"COVINGTON","5","0.63%"
"DESOTO","24","3.04%"
"FORREST","17","2.15%"
"FRANKLIN","2","0.25%"
"GEORGE","9","1.14%"
"GREENE","4","0.51%"
"GRENADA","13","1.65%"
"HANCOCK","16","2.03%"
"HARRISON","83","10.51%"
"HINDS","20","2.53%"
"HOLMES","3","0.38%"
"ITAWAMBA","10","1.27%"
"JACKSON","38","4.81%"
"JASPER","6","0.76%"
"JEFF","1","0.13%"
"JEFFERSON","1","0.13%"
"JONES","23","2.91%"
"KEMPER","1","0.13%"
"LAFAYETTE","10","1.27%"
"LAMAR","8","1.01%"
"LAUDERDALE","15","1.90%"
"LAWRENCE","5","0.63%"
"LEAKE","6","0.76%"
"LEE","33","4.18%"
"LEFLORE","3","0.38%"
"LINCOLN","15","1.90%"
"LOWNDES","20","2.53%"
"MADISON","32","4.05%"
"MARION","21","2.66%"
"MARSHALL","5","0.63%"
"MONROE","11","1.39%"
"MONTGOMERY","3","0.38%"
"NESHOBA","9","1.14%"
"NEWTON","1","0.13%"
"OKTIBBEHA","6","0.76%"
"PANOLA","7","0.89%"
"PEARL","32","4.05%"
"PERRY","5","0.63%"
"PIKE","13","1.65%"
"PONTOTOC","12","1.52%"
"PRENTISS","8","1.01%"
"RANKIN","58","7.34%"
"SCOTT","7","0.89%"
"SHARKEY","3","0.38%"
"SIMPSON","3","0.38%"
"SMITH","3","0.38%"
"STONE","6","0.76%"
"SUNFLOWER","2","0.25%"
"TALLAHATCHIE","1","0.13%"
"TATE","3","0.38%"
"TIPPAH","4","0.51%"
"TISHOMINGO","5","0.63%"
"TUNICA","7","0.89%"
"UNION","8","1.01%"
"UNAVAILABLE","3","0.38%"
"WALTHALL","3","0.38%"
"WARREN","8","1.01%"
"WASHINGTON","10","1.27%"
"WAYNE","5","0.63%"
"WEBSTER","7","0.89%"
"WINSTON","4","0.51%"
"YALOBUSHA","4","0.51%"
"YAZOO","4","0.51%"
"Total","790","100.00%"
