"","","Fact Sheet","","",""
"","","As of August 1, 2018","","",""
"LOCATION","DRUG OFFENSES","NON-VIOLENT OFFENSES","SEX OFFENSES","VIOLENT OFFENSES","TOTAL"
"MSP","434","383","565","1,919","3,301"
"CMCF","973","911","307","1,366","3,557"
"SMCI","535","488","543","1,469","3,035"
"Youthful Offender Facility","0","8","5","22","35"
"County Jails (approved)","378","165","9","160","712"
"County Jails (unapproved)","114","126","12","75","327"
"Private Prisons","277","284","567","2,121","3,249"
"Regional Correctional Facilities","560","453","810","1,853","3,676"
"Community Work Centers","362","157","0","147","666"
"Community Trusties","5","0","0","1","6"
"Pending File Review","54","54","4","34","146"
"Court Order","88","68","6","70","232"
"Transitional Housing","11","8","2","14","35"
"RRP","50","49","0","18","117"
"TVC","21","5","0","11","37"
"TOTAL CUSTODY POPULATION","3,862","3,159","2,830","9,280","19,131"
"% OF TOTAL OFFENSES","20.19%","16.51%","14.79%","48.51%","100.00%"
"Intensive Supervison Program","292","366","8","78","744"
"Earned Release Supervision","73","43","8","447","571"
"Medical Release","11","1","0","4","16"
"Other Custody","148","162","26","117","453"
"At Large","7","13","0","7","27"
"Conditional Release","0","0","1","2","36"
"FTR- Monitoring","2","3","1","0",""
"Off-Grounds Medical (Hospital)","2","1","3","5","11"
"TOTAL","4,397","3,748","2,877","9,940","20,962"
"% OF TOTAL OFFENSES","20.98%","17.88%","13.73%","47.42%","100.00%"
