"LOCATION","DRUG OFFENSES","PROPERTY OFFENSES","VIOLENT OFFENSES","TOTAL"
"MSP","754","583","1,404","474"
"CMCF","917","923","956","322"
"SMCI","845","792","1,111","421"
"County Jails (approved)","635","418","43","25"
"County Jails (unapproved)","71","94","33","12"
"Private Prisons","706","1,108","2,601","794"
"Regional Correctional Facilities","661","614","1,141","579"
"Community Work Centers","931","494","4","0"
"Community Trusties","4","5","0"
"Pending File Review","6 4
8","39","9","2 1"
"Court Order","137","110","57","4"
"TOTAL CUSTODY POPULATION","5,711","5,179","7,364","2,643"
"Intensive Supervison Program","858","738","44","8 4"
"Earned Release Supervision","367","475","613"
"Medical Release","22","14","6","0 1"
"Other Custody","139","135","88","3"
