"LOCATION","DRUG OFFENSES","PROPERTY OFFENSES","VIOLENT OFFENSES","TOTAL"
"MSP","1,164","1,130","2,033","4,327"
"CMCF","1,031","1,071","949","3,051"
"SMCI","697","596","871","2,164"
"County Jails (approved)","643","524","131","1,298"
"County Jails (unapproved)","24","27","13","64"
"Private Prisons","1,054","1,131","2,648","4,833"
"Regional Correctional Facilities","909","546","1,481","2,936"
"Community Work Centers","963","714","3","1,680"
"Community Trusties","8","44","5","17"
"Pending File Review","1","4","4","9"
"Court Order","142","162","52","356"
"TOTAL CUSTODY POPULATION","6,636","5,909","8,190","20,735"
"Intensive Supervison Program","603","1,011","39","1,653"
"Earned Release Supervision","748","780","355","1,883"
"Medical Release","4","2","2","8"
"Other Custody","111","116","68","295"
"At Large","32","65","15","112"
"Off-Grounds Medical (Hospital)","4","1","2","7"
"TOTAL","8,138","7,884","8,671","24,693"
"% OF TOTAL OFFENSES","32.96%","31.93%","35.12%","100.00%"
