"BY OFFENSE AND LOCATION","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","AGGRAVATED","","","","","","","","","","",""
"","","","DRUG","","PROPERTY","","","ASSUALT","","","VIOLENT","","","SEX","","","","",""
"LOCATION","","","OFFENSES","","OFFENSES","","","OFFENSES","","","OFFENSES","","","OFFENSES","","","","TOTAL",""
"MSP","","","590","","563","","","175","","","1,265","","","508","","","","3,101",""
"CMCF","","","577","","570","","","110","","","678","","","249","","","","2,184",""
"SMCI","","","454","","559","","","117","","","837","","","486","","","","2,453",""
"County Jails (approved)","","","570","","331","","","19","","","70","","","49","","","","1,039",""
"Youthful Offender Facility","","","","","0","","","4","","","14","","","3","","","","22",""
"County Jails (unapproved)","","","6","","113","","","13","","","29","","","11","","","","232",""
"Private Prisons","","","457","","582","","","290","","","1,955","","","687","","","","3,971",""
"Regional Correctional Facilities","","","737","","737","","","369","","","1,454","","","901","","","","4,198",""
"Community Work Centers","","","642","","397","","","0","","","4","","","0","","","","1,043",""
"Community Trusties","","","","","","","","0","","","0","","","0","","","","5",""
"Pending File Review","","","8","","0","","","1","","","5","","","1","","","","75",""
"Court Order","","","80","","97","","","20","","","44","","","10","","","","251",""
"TOTAL CUSTODY POPULATION","","","4,207","","3,989","","","1,118","","","6,355","","","2,905","","","","18,574",""
"% OF TOTAL OFFENSES","","","22.65%","","21.48%","","","6.02%","","","34.21%","","","15.64%","","","","100.00%",""
"Intensive Supervison Program","","","525","","683","","","14","","","33","","","5","","","","1,260",""
"Earned Release Supervision","","","264","","141","","","161","","","402","","","5","","","","973",""
"Medical Release","","","9","","6","","","0","","","2","","","","","","","17",""
"Other Custody","","","198","","220","","","27","","","75","","","6","","","","536",""
"At Large","","","","","4","","","0","","","7","","","0","","","","27",""
"Off-Grounds Medical (Hospital)","","","","","","","","1","","","2","","","1","","","","7",""
"TOTAL","","","5,209","","5,056","","","1,321","","","6,876","","","2,932","","","","21,394",""
"% OF TOTAL OFFENSES","","","24.35%","","23.63%","","","6.17%","","","32.14%","","","13.71%","","","","100.00%","1 6
5 2
6 0
0 4
31
0 1"
