"LOCATION","DRUG OFFENSES","PROPERTY OFFENSES","VIOLENT OFFENSES","TOTAL"
"MSP","1,022","875","1,992","3,889"
"CMCF","972","1,006","1,172","3,150"
"SMCI","989","862","1,161","3,012"
"County Jails (approved)","660","314","53","1,027"
"County Jails (unapproved)","87","106","45","238"
"Private Prisons","1,004","1,218","3,265","5,487"
"Regional Correctional Facilities","700","584","1,615","2,899"
"Community Work Centers","1,039","567","2","1,608"
"Community Trusties","6","4","6","16"
"Pending File Review","115","51","9","175"
"Court Order","102","95","43","240"
"TOTAL CUSTODY POPULATION","6,696","5,682","9,363","21,741"
"Intensive Supervison Program","525","727","26","1,278"
"Earned Release Supervision","514","546","464","1,524"
"Medical Release","20","10","7","37"
"Other Custody","139","123","87","349"
"At Large","12","27","8","47"
"Off-Grounds Medical (Hospital)","2","4","2","8"
