"LOCATION","DRUG OFFENSES","PROPERTY OFFENSES","VIOLENT OFFENSES","TOTAL"
"MSP","704","627","1,305","441"
"CMCF","896","982","968","314"
"SMCI","842","815","1,056","428"
"County Jails (approved)","783","478","30","21"
"County Jails (unapproved)","130","127","49","9"
"Private Prisons","671","1,031","2,626","808"
"Regional Correctional Facilities","699","662","1,266","646"
"Community Work Centers","960","598","6","0"
"Community Trusties","6","5","0"
"Pending File Review","3 6
0","53","11","3"
"Court Order","109","121","51","14"
"TOTAL CUSTODY POPULATION","5,857","5,500","7,373","2,684"
"Intensive Supervison Program","798","698","37","6 6"
"Earned Release Supervision","383","462","586"
"Medical Release","19","9","6"
"Other Custody","161","133","91","0 1
3"
