"LOCATION","DRUG OFFENSES","PROPERTY OFFENSES","VIOLENT OFFENSES","TOTAL"
"MSP","1,191","933","1,970","4,094"
"CMCF","1,155","1,060","1,180","3,395"
"SMCI","1,090","844","1,161","3,095"
"County Jails (approved)","756","349","83","1,188"
"County Jails (unapproved)","117","126","48","291"
"Private Prisons","1,067","1,206","3,210","5,483"
"Regional Correctional Facilities","855","554","1,518","2,927"
"Community Work Centers","1,144","525","1","1,670"
"Community Trusties","7","5","6","18"
"Pending File Review","35","48","8","91"
"Court Order","115","112","62","289"
"TOTAL CUSTODY POPULATION","7,532","5,762","9,247","22,541"
"Intensive Supervison Program","426","738","30","1,194"
"Earned Release Supervision","591","593","471","1,655"
"Medical Release","19","12","5","36"
"Other Custody","120","121","85","326"
"At Large","12","27","10","49"
"Off-Grounds Medical (Hospital)","1","4","2","7"
