"","","Fact Sheet","","",""
"","","As of June 1, 2018","","",""
"LOCATION","DRUG OFFENSES","NON-VIOLENT OFFENSES","SEX OFFENSES","VIOLENT OFFENSES","TOTAL"
"MSP","468","410","591","1,967","3,436"
"CMCF","965","932","319","1,324","3,540"
"SMCI","519","494","537","1,495","3,045"
"Youthful Offender Facility","0","6","7","23","36"
"County Jails (approved)","390","181","8","158","737"
"County Jails (unapproved)","146","125","10","86","367"
"Private Prisons","271","295","575","2,100","3,241"
"Regional Correctional Facilities","593","463","790","1,826","3,672"
"Community Work Centers","381","156","0","141","678"
"Community Trusties","6","0","0","0","6"
"Pending File Review","48","46","3","25","122"
"Court Order","67","66","7","69","209"
"Transitional Housing","14","7","1","7","29"
"RRP","55","59","0","18","132"
"TVC","9","5","0","6","20"
"TOTAL CUSTODY POPULATION","3,932","3,245","2,848","9,245","19,270"
"% OF TOTAL OFFENSES","20.40%","16.84%","14.78%","47.98%","100.00%"
"Intensive Supervison Program","286","330","9","80","705"
"Earned Release Supervision","90","45","10","469","614"
"Medical Release","10","2","0","3","15"
"Other Custody","143","165","23","117","448"
"At Large","8","12","0","7","27"
"Conditional Release","0","0","1","2","3"
"FTR- Monitoring","2","3","0","0","5"
"Off-Grounds Medical (Hospital)","2","0","2","7","11"
"TOTAL","4,473","3,802","2,893","9,930","21,098"
"% OF TOTAL OFFENSES","21.20%","18.02%","13.71%","47.07%","100.00%"
