"LOCATION","DRUG OFFENSES","PROPERTY OFFENSES","VIOLENT OFFENSES","TOTAL"
"MSP","933","758","2,213","3,904"
"CMCF","1,010","983","1,340","3,333"
"SMCI","928","801","1,350","3,079"
"County Jails (approved)","587","377","62","1,026"
"County Jails (unapproved)","60","48","26","134"
"Private Prisons","805","1,094","3,282","5,181"
"Regional Correctional Facilities","522","436","1,560","2,518"
"Community Work Centers","1,079","616","13","1,708"
"Community Trusties","7","3","6","16"
"Pending File Review","83","61","14","158"
"Court Order","88","104","64","256"
"TOTAL CUSTODY POPULATION","6,102","5,281","9,930","21,313"
"Intensive Supervison Program","742","720","44","1,506"
"Earned Release Supervision","372","477","537","1,386"
"Medical Release","18","10","9","37"
"Other Custody","137","118","95","350"
"At Large","11","25","8","44"
"Off-Grounds Medical (Hospital)","3","3","3","9"
