"LOCATION","DRUG OFFENSES","PROPERTY OFFENSES","VIOLENT OFFENSES","TOTAL"
"MSP","767","615","1,380","474"
"CMCF","946","943","943","312"
"SMCI","855","800","1,109","421"
"County Jails (approved)","656","416","38","21"
"County Jails (unapproved)","93","118","24","17"
"Private Prisons","688","1,130","2,620","804"
"Regional Correctional Facilities","659","622","1,147","582"
"Community Work Centers","925","481","4","0"
"Community Trusties","4","5","0"
"Pending File Review","5 5
9","51","12","2"
"Court Order","130","113","43","20"
"TOTAL CUSTODY POPULATION","5,783","5,293","7,325","2,653"
"Intensive Supervison Program","852","732","41"
"Earned Release Supervision","384","461","607","8 3"
"Medical Release","21","12","6"
"Other Custody","145","133","89","0 1
3"
