"LOCATION","DRUG OFFENSES","NON-VIOLENT OFFENSES","SEX OFFENSES","VIOLENT OFFENSES","TOTAL"
"MSP","419","363","573","1,909","3,264"
"CMCF","1019","970","321","1,432","3,742"
"SMCI","557","482","554","1,460","3,053"
"Youthful Offender Facility","0","8","2","26","36"
"County Jails (approved)","354","154","8","146","662"
"County Jails (unapproved)","73","120","13","74","280"
"Private Prisons","258","267","551","2,115","3,191"
"Regional Correctional Facilities","616","453","793","1,892","3,754"
"Community Work Centers","377","146","0","124","647"
"Community Trusties","8","0","0","1","9"
"Pending File Review","36","44","8","34","122"
"Court Order","73","60","6","68","207"
"Transitional Housing","7","7","1","10","25"
"RRP","29","41","0","11","81"
"TVC","39","10","0","14","63"
"TOTAL CUSTODY POPULATION","3,865","3,125","2,830","9,316","19,136"
"% OF TOTAL OFFENSES","20.20%","16.33%","14.79%","48.68%","100.00%"
"Intensive Supervison Program","308","366","10","87","771"
"Earned Release Supervision","48","32","10","490","580"
"Medical Release","13","1","0","2","16"
"Other Custody","154","173","24","116","467"
"At Large","7","11","0","7","25"
"Conditional Release","0","0","1","2",""
"FTR- Monitoring","2","3","1","0",""
"Off-Grounds Medical (Hospital)","2","2","1","6","11"
"TOTAL","4,399","3,713","2,877","10,026","21,015"
"% OF TOTAL OFFENSES","20.93%","17.67%","13.69%","47.71%","3 6
100.00%"
