"LOCATION","DRUG OFFENSES","PROPERTY OFFENSES","VIOLENT OFFENSES","TOTAL"
"MSP","1,436","1,313","2,936","5,685"
"CMCF","1,054","1,147","973","3,174"
"SMCI","710","739","714","2,163"
"County Jails (approved)","814","717","261","1,792"
"County Jails (unapproved)","80","94","52","226"
"Private Prisons","631","887","1,885","3,403"
"Regional Correctional Facilities","867","600","1,129","2,596"
"Community Work Centers","776","663","11","1,450"
"Community Trusties","10","10","5","25"
"CUSTODY POPULATION","6,378","6,170","7,966","20,514"
"Intensive Supervison Program","466","887","37","1,390"
"Earned Release Supervision","470","511","225","1,206"
"Medical Release","0","0","0","0"
"Other Custody","57","81","67","205"
"At Large","49","81","23","153"
"University of MS Medical Center","4","1","1","6"
"TOTAL","7,424","7,731","8,319","23,474"
"% of Total Offenses","31.63%","32.93%","35.44%","100.00%"
