"LOCATION","DRUG OFFENSES","PROPERTY OFFENSES","VIOLENT OFFENSES","TOTAL"
"MSP","971","797","2,156","3,924"
"CMCF","910","948","1,354","3,212"
"SMCI","815","739","1,191","2,745"
"County Jails (approved)","635","391","67","1,093"
"County Jails (unapproved)","131","114","54","299"
"Private Prisons","884","1,107","3,320","5,311"
"Regional Correctional Facilities","584","506","1,659","2,749"
"Community Work Centers","1,112","662","14","1,788"
"Community Trusties","7","3","6","16"
"Pending File Review","54","22","8","84"
"Court Order","106","109","53","268"
"TOTAL CUSTODY POPULATION","6,209","5,398","9,882","21,489"
"Intensive Supervison Program","657","716","41","1,414"
"Earned Release Supervision","426","469","529","1,424"
"Medical Release","18","8","9","35"
"Other Custody","144","116","99","359"
"At Large","12","24","8","44"
"Off-Grounds Medical (Hospital)","4","3","1","8"
