"LOCATION","DRUG OFFENSES","PROPERTY OFFENSES","VIOLENT OFFENSES","TOTAL"
"MSP","1,283","1,120","2,057","4,460"
"CMCF","1,107","1,087","1,013","3,207"
"SMCI","678","560","774","2,012"
"County Jails (approved)","712","485","146","1,343"
"County Jails (unapproved)","43","49","20","112"
"Private Prisons","1,024","1,066","2,742","4,832"
"Regional Correctional Facilities","879","582","1,574","3,035"
"Community Work Centers","1,144","639","4","1,787"
"Community Trusties","10","5","6","21"
"Pending File Review","20","16","10","46"
"Court Order","124","142","47","313"
"TOTAL CUSTODY POPULATION","7,024","5,751","8,393","21,168"
"Intensive Supervison Program","576","951","38","1,565"
"Earned Release Supervision","741","624","326","1,691"
"Medical Release","4","2","3","9"
"Other Custody","123","106","69","298"
"At Large","34","72","25","131"
"Off-Grounds Medical (Hospital)","4","3","2","9"
