"","","Black","","White","","Hispanic","","","Native American","","Asian","","Data Unavailable","TOTAL"
"LOCATION","Male","","Female","Male","Female","Male","Female","Male","Female","Male","Female","Male","Female",""
"MSP","2,403","","0","970","0","18","0","2","0","4","0","1","0","3,398"
"CMCF","1,345","","574","755","612","12","10","2","4","1","0","0","0","3,315"
"SMCI","2,066","","0","1,011","0","45","0","5","0","4","0","0","0","3,131"
"County Jails (approved)","564","","41","345","64","4","0","0","0","0","0","1","0","1,019"
"County Jails (unapproved)","175","","6","83","8","4","0","0","1","2","1","1","0","281"
"Private Prisons","3,970","","0","1,302","0","33","0","6","0","2","0","1","0","5,314"
"Regional Correctional Facilities","1,688","","34","735","24","26","0","5","0","6","0","1","0","2,519"
"Community Work Centers","936","","85","458","144","6","4","3","1","2","1","0","0","1,640"
"Community Trusties","9","","0","3","0","0","0","0","0","0","0","0","0","12"
"Pending File Review","45","","4","19","8","3","0","0","0","0","0","0","0","79"
"Court Order","134","","11","84","12","1","0","1","0","0","0","0","0","243"
"","13,335","","755","5,765","872","152","14","24","6","21","2","5","0","20,951"
"Intensive Supervison Program","610","","154","541","239","9","0","4","0","2","0","0","0","1,559"
"Earned Release Supervision","933","","79","378","58","5","1","1","0","1","0","0","0","1,456"
"Medical Release","23","","8","11","2","0","0","0","0","0","0","0","0","44"
"Other Custody","161","","10","119","16","39","4","2","1","3","0","4","0","359"
"At Large","24","","0","14","2","3","0","0","0","0","0","0","0","43"
"Off-Grounds Medical (Hospital)","6","","1","1","0","0","0","0","0","0","0","0","0","8"
"TOTAL","15,092","","1,007","6,829","1,189","208","19","31","7","27","2","9","0","24,420"
"% OF TOTAL OFFENDERS","61.80%","","4.12%","27.96%","4.87%",".85%",".08%",".13%",".03%",".11%",".01%",".04%",".00%","100.00%"
