"BY OFFENSE AND LOCATION","","","","","","","",""
"","","","","","AGGRAVATED","","",""
"","","DRUG","PROPERTY","","ASSUALT","VIOLENT","SEX",""
"LOCATION","","OFFENSES","OFFENSES","","OFFENSES","OFFENSES","OFFENSES","TOTAL"
"MSP","","786","766","","157","1,197","473","3,379"
"CMCF","","853","1,114","","176","818","353","3,314"
"SMCI","","718","811","","184","978","492","3,183"
"County Jails (approved)","","755","639","","22","58","36","1,510"
"County Jails (unapproved)","","122","181","","16","37","27","383"
"Private Prisons","","436","840","","262","2,086","631","4,255"
"Regional Correctional Facilities","","973","1,096","","311","1,178","789","4,347"
"Community Work Centers","","901","560","","1","4","0","1,466"
"Community Trusties","","","","","0","0","0","14"
"Pending File Review","","9 9","5 1
2","","1","6","0","28"
"Court Order","","143","173","","10","52","23","401"
"TOTAL CUSTODY POPULATION","","5,705","6,197","","1,140","6,414","2,824","22,280"
"% OF TOTAL OFFENSES","","25.61%","27.81%","","5.12%","28.79%","12.68%","100.00%"
"Intensive Supervison Program","","805","785","","18","48","7","1,663"
"Earned Release Supervision","","507","511","","189","404","2","1,613"
"Medical Release","","13","7","","2","3","","25"
"Other Custody","","199","160","","13","64","0 2
0","456"
"At Large","","","0","","0","7","","34"
"Off-Grounds Medical (Hospital)","","7 1","52","","0","2","0 0","8"
"TOTAL","","7,237","7,685","","1,362","6,942","2,853","26,079"
"% OF TOTAL OFFENSES","","27.75%","29.47%","","5.22%","26.62%","10.94%","100.00%"
