"LOCATION","DRUG OFFENSES","PROPERTY OFFENSES","VIOLENT OFFENSES","TOTAL"
"MSP","1,258","1,123","1,964","4,345"
"CMCF","1,041","1,063","944","3,048"
"SMCI","713","607","852","2,172"
"County Jails (approved)","617","504","120","1,241"
"County Jails (unapproved)","8","10","3","21"
"Private Prisons","1,037","1,060","2,709","4,806"
"Regional Correctional Facilities","907","549","1,556","3,012"
"Community Work Centers","959","670","7","1,636"
"Community Trusties","7","43","5","15"
"Pending File Review","2","4","3","9"
"Court Order","153","182","61","396"
"TOTAL CUSTODY POPULATION","6,702","5,775","8,224","20,701"
"Intensive Supervison Program","616","952","41","1,609"
"Earned Release Supervision","736","750","335","1,821"
"Medical Release","5","4","2","11"
"Other Custody","116","120","71","307"
"At Large","35","69","17","121"
"Off-Grounds Medical (Hospital)","2","1","2","5"
