"","","Fact Sheet",""
"","","As of January 2, 2019",""
"INMATE STATISTICS (continued)","","",""
"Community Trusties","0","9",".04%"
"Emergency Suspension","","0",".00%"
"Pending File Review","","122",".58%"
"TVC","0","63",".30%"
"Transitional Housing","0","25",".12%"
"Court Order","0","207",".99%"
"RRP","0","81",".39%"
"TOTAL CAPACITY & CUSTODY POPULATION","23,881","19,136","91.06%"
"Intensive Supervision Program","0","771","3.67%"
"Conditional Release","0","3","0.01%"
"Earned Release Supervision Program","0","580","2.76%"
"Failure to Register-Monitoring","0","6","0.03%"
"Medical Release","0","16","0.08%"
"TOTAL COMMUNITY CORRECTIONS","0","1,376","6.55%"
"Other Custody","","467","2.22%"
"Off-Grounds Medical (Hospital)","","11","0.05%"
"At Large (Escapees & Walk-Aways)","0","25","0.12%"
"TOTAL","23,881","21,015","00
00
100.00%"
