"LOCATION","DRUG OFFENSES","PROPERTY OFFENSES","VIOLENT OFFENSES","TOTAL"
"MSP","1,315","1,067","2,137","4,519"
"CMCF","1,221","1,103","1,009","3,333"
"SMCI","894","747","943","2,584"
"County Jails (approved)","729","500","141","1,370"
"County Jails (unapproved)","28","45","10","83"
"Private Prisons","1,048","1,106","2,713","4,867"
"Regional Correctional Facilities","937","595","1,537","3,069"
"Community Work Centers","1,151","573","3","1,727"
"Community Trusties","7","5","5","17"
"Pending File Review","11","10","4","25"
"Court Order","148","129","54","331"
"TOTAL CUSTODY POPULATION","7,489","5,880","8,556","21,925"
"Intensive Supervison Program","467","669","34","1,170"
"Earned Release Supervision","713","594","382","1,689"
"Medical Release","4","2","2","8"
"Other Custody","132","104","70","306"
"At Large","22","46","18","86"
"Off-Grounds Medical (Hospital)","4","3","3","10"
