"LOCATION","DRUG OFFENSES","PROPERTY OFFENSES","AGGRAVATED ASSUALT OFFENSES","VIOLENT OFFENSES","SEX OFFENSES","TOTAL"
"MSP","583","577","188","1,459","556","3,363"
"CMCF","769","951","153","1,110","337","3,320"
"SMCI","514","588","195","1,210","549","3,056"
"County Jails (approved)","373","245","15","103","7","743"
"Youthful Offender Facility","0","1","2","16","4","23"
"County Jails (unapproved)","88","120","16","41","13","278"
"Private Prisons","266","396","223","1,643","569","3,097"
"Regional Correctional Facilities","581","699","320","1,395","779","3,774"
"Community Work Centers","447","250","0","88","0","785"
"Community Trusties","21","13","0","4","0","38"
"Pending File Review","39","37","4","9","0","89"
"Court Order","60","82","7","51","13","213"
"TVC","0","0","0","0","0","0"
"TOTAL CUSTODY POPULATION","3,741","3,959","1,123","7,129","2,827","18,779"
"% OF TOTAL OFFENSES","19.92%","21.08%","5.98%","37.96%","15.05%","100.00%"
"Intensive Supervison Program","282","376","14","54","6","732"
"Earned Release Supervision","109","40","112","284","6","551"
"Medical Release","5","4","0","2","0","11"
"Other Custody","171","213","14","83","25","506"
"At Large","7","15","0","6","0","28"
"Transitional Housing","1","0","0","0","0","1"
"Conditional Release","0","0","0","2","0","2"
"RRP","11","27","0","14","0","52"
"FTR- Monitoring","3","0","0","0","0","3"
"Off-Grounds Medical (Hospital)","1","4","1","3","0","9"
"TOTAL","4,331","4,638","1,264","7,577","2,864","20,674"
"% OF TOTAL OFFENSES","20.95%","22.43%","6.11%","36.65%","13.85%","100.00%"
