"LOCATION","DRUG OFFENSES","PROPERTY OFFENSES","VIOLENT OFFENSES","TOTAL"
"MSP","737","630","1,331","461"
"CMCF","934","975","980","320"
"SMCI","834","777","1,107","444"
"County Jails (approved)","746","463","50","21"
"County Jails (unapproved)","119","119","35","14"
"Private Prisons","675","997","2,630","797"
"Regional Correctional Facilities","642","615","1,162","582"
"Community Work Centers","922","575","4","0"
"Community Trusties","4 4","3","5","0"
"Pending File Review","0","49","12","3"
"Court Order","112","103","49","13"
"TOTAL CUSTODY POPULATION","5,765","5,306","7,365","2,655"
"Intensive Supervison Program","842","742","43"
"Earned Release Supervision","394","477","591","8 6"
"Medical Release","21","10","6"
"Other Custody","152","132","89","0 1
4"
