"LOCATION","DRUG OFFENSES","PROPERTY OFFENSES","VIOLENT OFFENSES","TOTAL"
"MSP","1,252","1,132","2,144","4,528"
"CMCF","1,187","1,155","958","3,300"
"SMCI","690","578","802","2,070"
"County Jails (approved)","719","505","142","1,366"
"County Jails (unapproved)","58","87","33","178"
"Private Prisons","1,058","1,110","2,699","4,867"
"Regional Correctional Facilities","922","590","1,560","3,072"
"Community Work Centers","1,167","613","0","1,780"
"Community Trusties","9","6","5","20"
"Pending File Review","21","19","11","51"
"Court Order","114","133","53","300"
"TOTAL CUSTODY POPULATION","7,197","5,928","8,407","21,532"
"Intensive Supervison Program","558","937","34","1,529"
"Earned Release Supervision","729","614","336","1,679"
"Medical Release","4","2","3","9"
"Other Custody","130","105","74","309"
"At Large","39","62","26","127"
"Off-Grounds Medical (Hospital)","2","1","3","6"
