"LOCATION","DRUG OFFENSES","PROPERTY OFFENSES","VIOLENT OFFENSES","TOTAL"
"MSP","1,204","893","2,102","4,199"
"CMCF","1,388","1,200","1,177","3,765"
"SMCI","1,176","857","1,079","3,112"
"County Jails (approved)","808","547","139","1,494"
"County Jails (unapproved)","82","113","42","237"
"Private Prisons","990","1,006","2,799","4,795"
"Regional Correctional Facilities","1,037","546","1,499","3,082"
"Community Work Centers","1,184","538","1","1,723"
"Community Trusties","9","3","4","16"
"Pending File Review","37","30","5","72"
"Court Order","134","124","70","328"
"TOTAL CUSTODY POPULATION","8,049","5,857","8,917","22,823"
"Intensive Supervison Program","486","661","30","1,177"
"Earned Release Supervision","776","603","409","1,788"
"Medical Release","18","9","7","34"
"Other Custody","123","113","80","316"
"At Large","18","31","11","60"
"Off-Grounds Medical (Hospital)","2","2","3","7"
