"LOCATION","DRUG OFFENSES","PROPERTY OFFENSES","VIOLENT OFFENSES","TOTAL"
"MSP","697","639","1,305","460"
"CMCF","934","971","963","317"
"SMCI","831","800","1,070","430"
"County Jails (approved)","771","505","39","20"
"County Jails (unapproved)","93","114","24","7"
"Private Prisons","686","1,024","2,640","802"
"Regional Correctional Facilities","709","681","1,283","632"
"Community Work Centers","948","609","6","0"
"Community Trusties","8","5","0"
"Pending File Review","6 3
3","31","6","2"
"Court Order","112","92","40","12"
"TOTAL CUSTODY POPULATION","5,820","5,474","7,381","2,682"
"Intensive Supervison Program","812","719","40","6 5"
"Earned Release Supervision","371","451","571"
"Medical Release","20","10","6"
"Other Custody","154","136","91","0 1
3"
