"LOCATION","DRUG OFFENSES","PROPERTY OFFENSES","AGGREVATED VIOLENTOFFENSES","SEX OFFENSES","TOTAL"

"MSP","487","458","1,625","570","197","3,337"
"CMCF","891","949","1,167","327","146","3,480"
"SMCI","428","475","1,098","468","148","2,617"
"County Jails (approved)","355","198","112","9","13","687"
"Youthful Offender Facility","0","2","16","6","2","26"
"County Jails (unapproved)","111","122","70","11","11","325"
"Private Prisons","262","348","1,740","563","201","3,114"
"Regional Correctional Facilities","692","688","1,654","860","323","4,217"
"Community Work Centers","396","174","99","0","0","669"
"Community Trusties","17","12","8","0","0","37"
"Pending File Review","45","46","15","0","2","108"
"Court Order","78","81","47","9","12","227"
"Transitional Housing","11","16","8","0","2","37"
"RRP","31","54","18","1","1","105"
"TVC","7","7","5","0","3","22"
"TOTAL CUSTODY POPULATION","3,811","3,630","7,682","2,824","1,061","19,008"
"% OF TOTAL OFFENSES","20.05%","19.10%","40.41%","14.86%","5.58%","100.00%"
"Intensive Supervison Program","330","284","65","3","11","693"
"Earned Release Supervision","106","34","344","4","123","611"
"Medical Release","7","3","2","0","0","12"
"Other Custody","153","185","80","29","9","456"
"At Large","","16","6","0","0","30"
"Conditional Release","","0","2","1","0","3"
"FTR- Monitoring","","3","0","0","0",""
"Off-Grounds Medical (Hospital)","","3","1","0","0",""
"TOTAL","4,420","4,158","8,182","2,861","1,204","20,825"
"% OF TOTAL OFFENSES","21.23%","19.97%","39.29%","13.74%","5.78%","8 0 3 2
66
100.00%"
