"LOCATION","DRUG OFFENSES","PROPERTY OFFENSES","VIOLENT OFFENSES","TOTAL"
"MSP","727","648","1,322","462"
"CMCF","907","1,001","987","317"
"SMCI","825","757","1,109","442"
"County Jails (approved)","749","461","34","20"
"County Jails (unapproved)","104","115","29","10"
"Private Prisons","684","1,003","2,643","793"
"Regional Correctional Facilities","632","606","1,179","602"
"Community Work Centers","925","563","4","0"
"Community Trusties","7","5","0"
"Pending File Review","4 4
6","53","6","2"
"Court Order","134","114","43","13"
"TOTAL CUSTODY POPULATION","5,737","5,328","7,361","2,661"
"Intensive Supervison Program","861","734","40"
"Earned Release Supervision","385","485","571","7 5"
"Medical Release","21","10","6","0 1"
"Other Custody","149","134","90","3"
