"LOCATION","DRUG OFFENSES","PROPERTY OFFENSES","VIOLENT OFFENSES","TOTAL"
"MSP","","1,424","1,301","2,982","5,707",""
"CMCF","","986","1,066","988","3,040",""
"SMCI","","694","744","715","2,153",""
"County Jails (approved)","","806","716","278","1,800",""
"County Jails (unapproved)","","76","102","50","228",""
"Private Prisons","","678","963","1,854","3,495",""
"Regional Correctional Facilities","","879","587","1,132","2,598",""
"Community Work Centers","","807","662","10","1,479",""
"Community Trusties","","10","10","6","26",""
"","","6,360","6,151","8,015","20,526","CUSTODY POPULATION"
"Intensive Supervison Program","","458","875","40","1,373",""
"Earned Release Supervision","","511","497","239","1,247",""
"Medical Release","","0","0","0","0",""
