"LOCATION","DRUG OFFENSES","NON-VIOLENT OFFENSES","SEX OFFENSES","VIOLENT OFFENSES","TOTAL"
"MSP","413","358","580","1,918","3,269"
"CMCF","1015","974","326","1,407","3,722"
"SMCI","552","490","548","1,466","3,056"
"Youthful Offender Facility","0","5","3","27","35"
"County Jails (approved)","393","171","9","172","745"
"County Jails (unapproved)","125","130","14","103","372"
"Private Prisons","255","270","559","2,108","3,192"
"Regional Correctional Facilities","582","457","784","1,853","3,676"
"Community Work Centers","376","160","0","128","664"
"Community Trusties","9","0","0","1","10"
"Pending File Review","40","40","6","38","124"
"Court Order","111","74","5","74","264"
"Transitional Housing","12","14","1","15","42"
"RRP","29","44","0","10","83"
"TVC","32","8","1","11","52"
"TOTAL CUSTODY POPULATION","3,944","3,195","2,836","9,331","19,306"
"% OF TOTAL OFFENSES","20.43%","16.55%","14.69%","48.33%","100.00%"
"Intensive Supervison Program","301","366","10","77","754"
"Earned Release Supervision","62","32","9","480","583"
"Medical Release","11","1","0","2","14"
"Other Custody","146","179","25","115","465"
"At Large","7","11","0","7","25"
"Conditional Release","0","0","1","2",""
"FTR- Monitoring","2","3","1","0",""
"Off-Grounds Medical (Hospital)","2","2","4","10","18"
"TOTAL","4,475","3,789","2,886","10,024","21,174"
"% OF TOTAL OFFENSES","21.14%","17.90%","13.63%","47.34%","3 6
100.00%"
