"LOCATION","DRUG OFFENSES","NON-VIOLENT OFFENSES","SEX OFFENSES","VIOLENT OFFENSES","TOTAL"
"MSP","423","358","569","1,906","3,256"
"CMCF","1005","959","317","1,369","3,650"
"SMCI","551","494","548","1,455","3,048"
"Youthful Offender Facility","0","9","3","26","38"
"County Jails (approved)","379","167","12","161","719"
"County Jails (unapproved)","121","123","17","87","348"
"Private Prisons","261","282","574","2,125","3,242"
"Regional Correctional Facilities","561","474","787","1,856","3,678"
"Community Work Centers","364","158","0","139","661"
"Community Trusties","6","0","0","0","6"
"Pending File Review","49","46","7","40","142"
"Court Order","94","63","7","67","231"
"Transitional Housing","8","10","1","18","37"
"RRP","36","44","0","15","95"
"TVC","29","9","0","12","50"
"TOTAL CUSTODY POPULATION","3,887","3,196","2,842","9,276","19,201"
"% OF TOTAL OFFENSES","20.24%","16.64%","14.80%","48.31%","100.00%"
"Intensive Supervison Program","303","394","10","71","778"
"Earned Release Supervision","67","36","8","472","583"
"Medical Release","11","1","0","2","14"
"Other Custody","144","170","26","118","458"
"At Large","7","12","0","7","26"
"Conditional Release","0","0","1","2","3"
"FTR- Monitoring","2","3","1","0","6"
"Off-Grounds Medical (Hospital)","2","0","3","6","11"
"TOTAL","4,423","3,812","2,891","9,954","21,080"
"% OF TOTAL OFFENSES","20.98%","18.08%","13.72%","47.22%","100.00%"
