"LOCATION","DRUG OFFENSES","PROPERTY OFFENSES","VIOLENT OFFENSES","TOTAL"
"MSP","720","633","1,277","433"
"CMCF","821","947","924","326"
"SMCI","820","854","1,064","452"
"County Jails (approved)","744","460","49","19"
"County Jails (unapproved)","168","174","54","12"
"Private Prisons","627","1,063","2,626","801"
"Regional Correctional Facilities","797","749","1,330","637"
"Community Work Centers","925","541","5","0"
"Community Trusties","5","0"
"Pending File Review","5 4
0","5 3
8","7","1"
"Court Order","153","150","64","15"
"TOTAL CUSTODY POPULATION","5,820","5,614","7,405","2,696"
"Intensive Supervison Program","848","727","46","7 4"
"Earned Release Supervision","445","512","621"
"Medical Release","14","6","5","0"
"Other Custody","171","135","81","02
0"
