"LOCATION","DRUG OFFENSES","PROPERTY OFFENSES","VIOLENT OFFENSES","TOTAL"
"MSP","1,289","1,005","2,190","4,484"
"CMCF","1,230","1,171","1,024","3,425"
"SMCI","958","750","952","2,660"
"County Jails (approved)","726","507","122","1,355"
"County Jails (unapproved)","38","62","23","123"
"Private Prisons","1,004","1,080","2,664","4,748"
"Regional Correctional Facilities","918","570","1,463","2,951"
"Community Work Centers","1,177","592","5","1,774"
"Community Trusties","7","5","5","17"
"Pending File Review","61","48","75","184"
"Court Order","138","119","50","307"
"TOTAL CUSTODY POPULATION","7,546","5,909","8,573","22,028"
"Intensive Supervison Program","460","669","28","1,157"
"Earned Release Supervision","684","598","370","1,652"
"Medical Release","4","2","3","9"
"Other Custody","138","105","77","320"
"At Large","20","43","18","81"
"Off-Grounds Medical (Hospital)","1","2","4","7"
