"LOCATION","DRUG OFFENSES","PROPERTY OFFENSES","VIOLENT OFFENSES","TOTAL"
"MSP","1,146","951","1,999","4,096"
"CMCF","1,148","1,059","1,185","3,392"
"SMCI","1,024","863","1,160","3,047"
"County Jails (approved)","710","327","80","1,117"
"County Jails (unapproved)","76","89","42","207"
"Private Prisons","1,069","1,206","3,209","5,484"
"Regional Correctional Facilities","832","545","1,542","2,919"
"Community Work Centers","1,014","500","1","1,515"
"Community Trusties","6","6","8","20"
"Pending File Review","94","74","15","183"
"Court Order","113","101","53","267"
"TOTAL CUSTODY POPULATION","7,232","5,721","9,294","22,247"
"Intensive Supervison Program","413","715","27","1,155"
"Earned Release Supervision","566","572","470","1,608"
"Medical Release","20","12","6","38"
"Other Custody","130","118","82","330"
"At Large","12","28","10","50"
"Off-Grounds Medical (Hospital)","2","4","3","9"
